Notice: Tableau 1
Ce tableur comprend les annexes au rapport méthodologique sur les produits alimentaires  AGRIBALYSE. ;;;;
;;;;
www.agribalyse.fr;;;;
;;;;
La base de données est propriétée de l'ADEME, elle est pilotée au sein du GIS Revalim.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Sommaire : ;;Summary :;;
1;Mix de consommation de matières premières – origine des produits;Raw material consumption mix – origin of raw mareial;;
2;Mix de consommation des matière premières pour les aliments les plus emblématiques consommés en France, source de données et années;Consumption mixes of raw materials for the most emblematic foods consumed in France, data source and years;;
3;Parts non comestibles – matière première végétale et oeufs;Inedible parts – vegetable, fruits, nuts and eggs;;
4;Poissons et crustacés : proxy utilisés et parts non comestibles;Fish and shellfish: proxies used and inedible parts;;
5;Poissons et crustacés : jeux de données exclus et  jeux de données ajouté dans AGRIBALYSE 3.0;Fish and shellfish: datasets excluded and datasets added in AGRIBALYSE 3.0;;
6;Densités utilisées;Densities used;;
7;Calcul des volumes d’eau évaporés par le processus de séchage ;Calculation of water volumes evaporated by the drying process ;;
8;Rendements utilisés pour les fromages;Yields used for cheeses;;
9;Recettes utilisées pour les produits CIQUAL : sources;Recipes used for CIQUAL products: sources;;
10;Produits CIQUAL approchés par d'autres recettes / produits CIQUAL;CIQUAL products approached by other CIQUAL recipes / products;;
11;Produits CIQUAL non présents dans Agribalyse;CIQUAL products not present in Agribalyse;;
12;Liste des dummy (données vides);List of dummy (empty data);;

1. Consumption mix: Tableau 1
Mix de consommation de matières premières – origine des produits;;;;;;
;;;;;;
Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins;
produits céréaliers;céréales de petit-déjeuner et biscuits; 32111; 32111;Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;Muesli, crunchy, with fruits or dried fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements, recipe, at plant {FR} U;Retailer for Agribalyse;;
produits céréaliers;céréales de petit-déjeuner et biscuits; 32128; 32128;Muesli floconneux ou de type traditionnel;Muesli, flakes (Bircher-style);Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements, recipe, at plant {FR} U;Retailer for Agribalyse;;
produits céréaliers;céréales de petit-déjeuner et biscuits; 32138; 32138;Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux);Muesli, flakes (Bircher-style), with fruits or dried fruits (not fortified with vitamins and chemical elements);Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements, recipe, at plant {FR} U;Retailer for Agribalyse;;
produits céréaliers;céréales de petit-déjeuner et biscuits; 32110; 32110;Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;Muesli, flakes (Bircher-style), with fruits or dried fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements, recipe, at plant {FR} U;Retailer for Agribalyse;;
produits céréaliers;céréales de petit-déjeuner et biscuits; 32113; 32113;Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés;Muesli, flakes (Bircher-style), with fruits or dried fruits, without sugar;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements;Muesli, crunchy, with chocolate, with or without fruits, fortified with vitamins and chemical elements, recipe, at plant {FR} U;Retailer for Agribalyse;;
produits céréaliers;gâteaux et pâtisseries; 23950; 23950;Muffin, aux myrtilles ou au chocolat;Muffin, with blueberry or chocolate;Muffin, with blueberry or chocolate;Muffin, with blueberry or chocolate, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
aides culinaires et ingrédients divers;sauces; 11160; 11160;Sauce aux champignons, préemballée;Mushroom sauce, prepacked;Mushroom sauce, prepacked;Mushroom sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats composés; 10083; 10083;Moules farcies (matière grasse, persillade…), crues;Mussels, filled (fat, parsley and garlic...);Mussels, in a shallot and white wine broth;Mussels, in a shallot and white wine broth, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats composés; 10082; 10082;Moules marinières (oignons et vin blanc);Mussels, in a shallot and white wine broth;Mussels, in a shallot and white wine broth;Mussels, in a shallot and white wine broth, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 10081; 10081;Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;Mussels, in Catalan-style sauce or marinade (tomatoes), canned, drained;Mussels, in Catalan-style sauce or marinade (tomatoes), canned;Mussels, in Catalan-style sauce or marinade (tomatoes), canned, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
aides culinaires et ingrédients divers;sauces; 11157; 11157;Sauce moutarde, préemballée;Mustard sauce prepacked;Mustard sauce prepacked;Mustard sauce prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
aides culinaires et ingrédients divers;condiments; 11013; 11013;Moutarde;Mustard;Mustard;Mustard, recipe, at plant {FR} U;Agrofood industry for Agribalyse;;
aides culinaires et ingrédients divers;condiments; 11021; 11021;Moutarde à l'ancienne;Mustard, with grains;Mustard, with grains;Mustard, with grains, recipe, at plant {FR} U;Agrofood industry for Agribalyse;;
entrées et plats composés;plats composés; 25159; 25159;Tajine de mouton;Mutton tagine;Mutton tagine;Mutton tagine, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats composés; 25183; 25183;Nouilles sautées/poêlées aux crevettes;Noodles with shrimps sauteed/pan-fried;Noodles with shrimps sauteed/pan-fried;Noodles with shrimps sauteed/pan-fried, recipe, at plant {FR} U;Retailer for Agribalyse;;
produits sucrés;confiseries non chocolatées; 31033; 31033;Nougat ou touron;Nougat;Nougat;Nougat, recipe, at plant {FR} U;Agribalyse - adapted from recommendations from Alliance 7 and its members;;
aides culinaires et ingrédients divers;sauces; 11194; 11194;Sauce Nuoc Mâm ou Sauce au poisson, préemballée;Nuoc mam sauce or fish sauce, prepacked;Nuoc mam sauce or fish sauce, prepacked;Nuoc mam sauce or fish sauce, prepacked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
boissons;boissons sans alcool; 18905; 18905;Boisson à base d'avoine, nature;Oat-based drink, plain, prepacked;Oat-based drink, plain;Oat-based drink, plain, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
aides culinaires et ingrédients divers;condiments; 13147; 13147;Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);Olive, green, stuffed (anchovy, sweet peppers, etc...);Olive, green, stuffed (anchovy, sweet peppers, etc...);Olive, green, stuffed (anchovy, sweet peppers, etc...), recipe, at plant {FR} U;Retailer for Agribalyse;;
viandes, œufs, poissons;œufs; 22506; 22506;Omelette au fromage;Omelette, with cheese;Omelette, with cheese;Omelette, with cheese, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;œufs; 22509; 22509;Omelette aux fines herbes;Omelette, with herbs;Omelette, with herbs;Omelette, with herbs, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;œufs; 22507; 22507;Omelette aux lardons;Omelette, with lardoons;Omelette, with lardoons;Omelette, with lardoons, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;œufs; 22508; 22508;Omelette aux champignons;Omelette, with mushrooms;Omelette, with mushrooms;Omelette, with mushrooms, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25529; 25529;Tarte à l'oignon;Onion tart;Onion tart;Onion tart, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
boissons;boissons sans alcool; 2012; 2012;Jus d'orange, à base de concentré;Orange juice, reconstituted from a concentrate;Orange juice, reconstituted from a concentrate;Orange juice, reconstituted from a concentrate, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
boissons;boissons sans alcool; 2375; 2375;Nectar d'orange;Orange nectar;Orange nectar;Orange nectar, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
entrées et plats composés;plats composés; 25164; 25164;Osso buco;Osso buco;Osso buco;Osso buco, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats composés; 25031; 25031;Paëlla;Paella;Paella;Paella, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;pains et viennoiseries; 7170; 7170;Pain panini;Panini bread;Panini bread;Panini bread, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
lait et produits laitiers;produits laitiers frais et assimilés; 19685; 19685;Panna cotta, rayon frais;Panna cotta, refrigerated;Panna cotta, refrigerated;Panna cotta, refrigerated, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats composés; 25122; 25122;Gratin de pâtes;Pasta au gratin (oven grilled);Pasta au gratin (oven grilled);Pasta au gratin (oven grilled), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats composés; 25198; 25198;Pâtes en sauce aux fromages (spaghetti, tagliatelles…);Pasta with cheese sauce (spaghetti, tagliatelle...);Fresh pasta, stuffed with cheese (e.g. ravioli), cooked;Fresh pasta, stuffed with cheese (e.g. ravioli), cooked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25568; 25568;Pastilla au poulet;Pastilla, filled with chicken (pie);Pastilla, filled with chicken (pie);Pastilla, filled with chicken (pie), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;céréales de petit-déjeuner et biscuits; 24060; 24060;Biscuit pâtissier meringué;Pastry biscuit with meringue;Biscuit (cookie), sponge fingers or Lady fingers;Biscuit (cookie), sponge fingers or Lady fingers, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
lait et produits laitiers;produits laitiers frais et assimilés; 39710; 39710;Crème pâtissière;Pastry cream or custard;Pastry cream or custard;Pastry cream or custard, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;gâteaux et pâtisseries; 23455; 23455;Chou à la crème (chantilly ou pâtissière);Pastry cream puff;Chou pastry filled with whipped cream;Chou pastry filled with whipped cream, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;farines et pâtes à tarte; 23412; 23412;Pâte brisée, matière grasse végétale, cuite;Pastry, short crust, baked;Pastry, short crust, baked;Pastry, short crust, baked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;charcuteries; 8391; 8391;Pâté en croûte;Pate in crust;Pate in crust;Pate in crust, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;charcuteries; 8201; 8201;Pâté au poivre vert;Pate w green pepper;Pate w green pepper;Pate w green pepper, recipe, at plant {FR} U;"Incyvie projet for Agribalyse - see specific report ""Projet Incyvie Lot n°1 : Amélioration de la base de données AGRIBALYSE. """;;
glaces et sorbets;desserts glacés; 39401; 39401;Pêche melba;Peach melba (with vanilla ice cream and raspberry sauce);Goblet of ice cream, coffee or chocolate ice cream topped with whipped cream;Goblet of ice cream, coffee or chocolate ice cream topped with whipped cream, recipe, at plant {FR} U;Retailer for Agribalyse;;
boissons;boissons sans alcool; 2371; 2371;Nectar de pêche;Peach nectar;Peach nectar;Peach nectar, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
fruits, légumes, légumineuses et oléagineux;fruits à coque et graines oléagineuses; 15202; 15202;Beurre de cacahuète ou Pâte d'arachide;Peanut butter or peanut paste;Peanut butter or peanut paste;Peanut butter or peanut paste, recipe, at plant {FR} U;Agribalyse;;
boissons;boissons sans alcool; 2054; 2054;Nectar de poire;Pear nectar;Pear nectar;Pear nectar, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
produits céréaliers;gâteaux et pâtisseries; 24663; 24663;Tarte aux poires amandine;Peer tart with almonds;Peer tart with almonds;Peer tart with almonds, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;farines et pâtes à tarte; 23445; 23445;Pâte phyllo ou Pâte filo, crue;Phyllo or filo dough, raw;Phyllo or filo dough, raw;Phyllo or filo dough, raw, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
viandes, œufs, poissons;produits à base de poissons et produits de la mer; 26027; 26027;Pilchard, sauce tomate, appertisé, égoutté;Pilchard, in tomato sauce, canned, drained;European pilchard or sardine, in oil, canned;European pilchard or sardine, in oil, canned, recipe, at plant {FR} U;"CTCPA for Agribalyse - see specific report ""CTCPA pour Agribalyse V3.1 :  INVENTAIRES PRODUITS, PROCEDES ET DONNEES SUR LES PERTES ET LE STOCKAGE""";;
boissons;boissons sans alcool; 2000; 2000;Jus d'ananas, à base de concentré;Pineapple juice, reconstituted from a concentrate;Pineapple juice, reconstituted from a concentrate;Pineapple juice, reconstituted from a concentrate, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
entrées et plats composés;plats composés; 20240; 20240;Piperade basquaise;Piperade, Basque-style (fondue of sweet peppers and tomatoes flavoured with onions and garlics);Piperade, Basque-style (fondue of sweet peppers and tomatoes flavoured with onions and garlics);Piperade, Basque-style (fondue of sweet peppers and tomatoes flavoured with onions and garlics), recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;pains et viennoiseries; 7180; 7180;Pain pita;Pita bread;Pita bread;Pita bread, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;farines et pâtes à tarte; 96778; 96778;Pâte à pizza cuite;Pizza base, cooked;Pizza base, cooked;Pizza base, cooked, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
produits céréaliers;farines et pâtes à tarte; 37001; 37001;Pâte à pizza crue;Pizza base, raw;Pizza base, raw;Pizza base, raw, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 26273; 26273;Pizza type raclette ou tartiflette;Pizza with raclette or tartiflette cheese and lardoons;Pizza, goat cheese and lardoons;Pizza, goat cheese and lardoons, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25457; 25457;Pizza à la viande, type bolognaise;Pizza, bolognese-style w meat;Pizza, bolognese-style w meat;Pizza, bolognese-style w meat, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25477; 25477;Pizza champignons fromage;Pizza, cheese and mushrooms;Pizza, cheese and mushrooms;Pizza, cheese and mushrooms, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25404; 25404;Pizza au fromage ou Pizza margherita;Pizza, cheese and tomato or Margherita pizza;Pizza, cheese and tomato or Margherita pizza;Pizza, cheese and tomato or Margherita pizza, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 26272; 26272;Pizza au poulet;Pizza, chicken;Pizza, chicken;Pizza, chicken, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";Pizza, ham and cheese;
entrées et plats composés;pizzas, tartes et crêpes salées; 25462; 25462;Pizza au chorizo ou salami;Pizza, chorizo or salami;Pizza, chorizo or salami;Pizza, chorizo or salami, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 26274; 26274;Pizza au speck ou jambon cru;Pizza, cured ham;Pizza, ham and cheese;Pizza, ham and cheese, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25478; 25478;Pizza 4 fromages;Pizza, four cheeses;Pizza, four cheeses;Pizza, four cheeses, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25468; 25468;Pizza au chèvre et lardons;Pizza, goat cheese and lardoons;Pizza, goat cheese and lardoons;Pizza, goat cheese and lardoons, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25435; 25435;Pizza jambon fromage;Pizza, ham and cheese;Pizza, ham and cheese;Pizza, ham and cheese, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25548; 25548;Pizza jambon fromage champignons ou pizza royale, reine ou regina;Pizza, ham cheese and mushrooms;Pizza, ham cheese and mushrooms;Pizza, ham cheese and mushrooms, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 26271; 26271;Pizza kebab;Pizza, kebab;Pizza, ham and cheese;Pizza, ham and cheese, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25570; 25570;Pizza aux lardons, oignons et fromage;Pizza, lardoons onions and cheese;Pizza, goat cheese and lardoons;Pizza, goat cheese and lardoons, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25528; 25528;Pissaladière;Pizza, onion anchovy and black olives;Pizza, onion anchovy and black olives;Pizza, onion anchovy and black olives, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25464; 25464;Pizza au saumon;Pizza, salmon;Pizza, tuna;Pizza, tuna, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25463; 25463;Pizza aux fruits de mer;Pizza, seafood;Pizza, tuna;Pizza, tuna, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 26270; 26270;Pizza au thon;Pizza, tuna;Pizza, tuna;Pizza, tuna, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;pizzas, tartes et crêpes salées; 25472; 25472;Pizza aux légumes ou Pizza 4 saisons;Pizza, vegetables or pizza 4 seasons;Pizza, vegetables or pizza 4 seasons;Pizza, vegetables or pizza 4 seasons, recipe, at plant {FR} U;"Agribalyse - adapted  from ANSES with the file ""Anses_Credoc_Recette_INCA3"" for Agribalyse, representative of home-made production";;
entrées et plats composés;plats végétariens; 25589_1; 25589;Boulette végétale au soja et/ou blé, préemballée;Plant-based ball with wheat and/or soybean, prepacked;Plant-based ball with wheat and/or soybean, prepacked;Plant-based ball with wheat and/or soybean, prepacked, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
lait et produits laitiers;fromages; 1029_2;1029;Spécialité végétale type fromage râpé, sans soja, préemballée;Plant-based cheese, without soybean, prepacked, shredded;Plant-based cheese, without soybean, prepacked, shredded;Plant-based cheese, without soybean, prepacked, shredded, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
lait et produits laitiers;fromages; 1029_1;1029;Spécialité végétale type fromage en tranche, sans soja, préemballée;Plant-based cheese, without soybean, prepacked, sliced;Plant-based cheese, without soybean, prepacked, sliced;Plant-based cheese, without soybean, prepacked, sliced, recipe, at plant {FR} U;"GINGKO21 for Agribalyse - see specific report ""Agribalyse 3.1 Repports spécifiques aux 50 nouveaux ICV créés""";;
viandes, œufs, poissons;substituts de charcuterie; 1030; 1030;Spécialité végétale type jambon cuit, préemballée;Plant-based ham, prepacked;Plant-based ham, prepacked;Plant-based ham, prepacked, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
viandes, œufs, poissons;substituts de viande;1031;1031;Spécialité végétale type pâté, préemballée;Plant-based pate, prepacked;Plant-based pate, prepacked;Plant-based pate, prepacked, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
entrées et plats composés;plats végétariens;25591;25591;Galette ou pavé aux lentilles, soja et légumes, préemballé;Plant-based patty or steak from lentil, soybean and vegetables;Plant-based patty or steak from lentil, soybean and vegetables;Plant-based patty or steak from lentil, soybean and vegetables, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
entrées et plats composés;plats végétariens;25595;25595;Galette ou pavé au soja et fromage, préemballé;Plant-based patty or steak from soybean and cheese;Plant-based patty or steak from soybean and cheese;Plant-based patty or steak from soybean and cheese, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
entrées et plats composés;plats végétariens; 25596_1;25596;Galette ou pavé au soja et légumes, préemballé;Plant-based patty or steak from soybean and vegetables;Plant-based patty or steak from soybean and vegetables;Plant-based patty or steak from soybean and vegetables, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
entrées et plats composés;plats végétariens; 25597_1;25597;Galette ou pavé au soja, fromage et légumes, préemballé;Plant-based patty or steak from soybean, cheese and vegetables;Plant-based patty or steak from soybean, cheese and vegetables;Plant-based patty or steak from soybean, cheese and vegetables, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
entrées et plats composés;plats végétariens;25592;25592;Galette ou pavé au blé (seitan) et légumes, préemballé;Plant-based patty or steak from wheat (seitan) and vegetables;Plant-based patty or steak from wheat (seitan) and vegetables;Plant-based patty or steak from wheat (seitan) and vegetables, recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
entrées et plats composés;plats végétariens;25594;25594;Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé;Plant-based patty or steak from wheat and soybean (not vegan);Plant-based patty or steak from wheat and soybean (not vegan);Plant-based patty or steak from wheat and soybean (not vegan), recipe, at plant {FR} U;"ITERG for Agribalyse - see specific report ""PRODUCTION D'INVENTAIRES DE CYCLE DE VIE « SUBSTITUTS VEGETAUX » POUR LA BASE DE DONNEES AGRIBALYSE""";;
